Loaded module: cuda/11.7

[INFO] Using global_seed=12

[INFO] Training EVAE: decoders=1, rerun=0
Epoch  41 | Train: 155.4488 | Val: 154.7961
Epoch  51 | Train: 152.7006 | Val: 151.8771
Epoch  61 | Train: 150.5212 | Val: 149.7062
Epoch  71 | Train: 148.7995 | Val: 148.0293
Epoch  81 | Train: 147.0655 | Val: 146.4863
Epoch  91 | Train: 145.7923 | Val: 145.2877
Epoch 100 | Train: 144.9411 | Val: 144.1408

[INFO] Training EVAE: decoders=3, rerun=8
Epoch   1 | Train: 309.9030 | Val: 363.1116
Epoch  11 | Train: 162.8242 | Val: 167.0351
Epoch  21 | Train: 158.6559 | Val: 159.4803
Epoch  31 | Train: 156.9499 | Val: 156.0925
Epoch  41 | Train: 153.5293 | Val: 152.6211
Epoch  51 | Train: 150.5492 | Val: 149.9681
Epoch  61 | Train: 148.6993 | Val: 148.1256
Epoch  71 | Train: 147.2806 | Val: 146.7612
Epoch  81 | Train: 145.6845 | Val: 145.4591
Epoch  91 | Train: 144.4650 | Val: 144.0386
Epoch 100 | Train: 143.4081 | Val: 143.4017

[INFO] Training EVAE: decoders=3, rerun=9
Epoch   1 | Train: 340.7331 | Val: 289.1701
Epoch  11 | Train: 163.5130 | Val: 167.4523
Epoch  21 | Train: 158.4632 | Val: 159.4701
Epoch  31 | Train: 156.8655 | Val: 156.4402
Epoch  41 | Train: 153.9153 | Val: 153.1579
Epoch  51 | Train: 151.2023 | Val: 150.6560
Epoch  61 | Train: 149.2832 | Val: 148.8205
Epoch  71 | Train: 147.8462 | Val: 147.5020
Epoch  81 | Train: 146.4030 | Val: 146.1247
Epoch  91 | Train: 145.0048 | Val: 144.8284
Epoch 100 | Train: 144.0350 | Val: 143.8175
